Success,Sent messages,Starting distance,One used energy,Node energy 1,Node energy 2,Node energy 3,Node energy 4,Node energy 5,Node energy 6,Node energy 7,Node energy 8,Node energy 9,Node energy 10,Node energy 11,Node energy 12,Node energy 13,Node energy 14,Node energy 15,Node energy 16,Node energy 17,Node energy 18,Node energy 19,Node energy 20,Node energy 21,Node energy 22,Node energy 23,Node energy 24,Node energy 25
1,5,0.790569415,35.8104706,99941.1106,99685.0491,99606.8954,99350.0233,99269.5808,99889.8983,99465.704,99204.1111,98805.6898,98967.1946,99807.5962,99412.0359,99165.2012,98932.2901,98719.1916,99856.2336,99446.7258,99519.0859,99388.659,98993.814,99666.9292,99472.1651,99091.053,99233.4962,100000
1,4,1,79.202652,99941.1106,99685.0491,99606.8954,99350.0233,99190.3782,99889.8983,99465.704,99204.1111,98805.6898,98887.9919,99807.5962,99412.0359,99165.2012,98932.2901,98719.1916,99856.2336,99446.7258,99519.0859,99388.659,98914.6113,99666.9292,99472.1651,99091.053,99233.4962,100000
0,8,1.11803399,47.0638275,99941.1106,99685.0491,99606.8954,99350.0233,99190.3782,99889.8983,99465.704,99204.1111,98805.6898,98887.9919,99760.5324,99364.9721,99118.1374,98932.2901,98719.1916,99809.1698,99399.662,99472.0221,99388.659,98914.6113,99619.8654,99472.1651,99091.053,99233.4962,100000
0,4,1.11803399,47.0638275,99941.1106,99685.0491,99559.8316,99350.0233,99190.3782,99889.8983,99465.704,99157.0473,98758.626,98887.9919,99760.5324,99364.9721,99118.1374,98932.2901,98719.1916,99809.1698,99399.662,99472.0221,99388.659,98914.6113,99619.8654,99472.1651,99091.053,99233.4962,100000
1,4,1,79.202652,99941.1106,99685.0491,99559.8316,99350.0233,99111.1755,99889.8983,99465.704,99157.0473,98758.626,98808.7893,99760.5324,99364.9721,99118.1374,98932.2901,98719.1916,99809.1698,99399.662,99472.0221,99388.659,98835.4087,99619.8654,99472.1651,99091.053,99233.4962,100000
1,6,0.901387819,36.0488892,99941.1106,99685.0491,99559.8316,99350.0233,99111.1755,99889.8983,99465.704,99157.0473,98758.626,98808.7893,99760.5324,99328.9232,99082.0885,98932.2901,98719.1916,99809.1698,99363.6131,99435.9732,99352.6101,98835.4087,99619.8654,99472.1651,99091.053,99233.4962,100000
0,13,1.41421356,58.889389,99882.2212,99626.1597,99500.9422,99291.1339,99111.1755,99831.0089,99406.8146,99157.0473,98699.7366,98808.7893,99701.643,99328.9232,99023.1991,98873.4007,98660.3022,99809.1698,99304.7237,99435.9732,99352.6101,98835.4087,99619.8654,99472.1651,99091.053,99233.4962,100000
1,6,0.790569415,35.8104706,99882.2212,99626.1597,99500.9422,99291.1339,99111.1755,99831.0089,99406.8146,99157.0473,98699.7366,98808.7893,99701.643,99328.9232,99023.1991,98873.4007,98660.3022,99809.1698,99268.9133,99400.1627,99352.6101,98799.5982,99619.8654,99436.3546,99055.2425,99233.4962,100000
1,3,0.5,45.9432602,99882.2212,99626.1597,99500.9422,99291.1339,99111.1755,99831.0089,99406.8146,99157.0473,98699.7366,98808.7893,99701.643,99328.9232,99023.1991,98873.4007,98660.3022,99809.1698,99268.9133,99400.1627,99352.6101,98799.5982,99619.8654,99436.3546,99009.2993,99187.5529,100000
1,9,1.11803399,47.0638275,99882.2212,99626.1597,99453.8784,99244.0701,99064.1117,99831.0089,99406.8146,99109.9834,98699.7366,98761.7254,99701.643,99328.9232,99023.1991,98826.3369,98613.2383,99809.1698,99268.9133,99353.0989,99352.6101,98799.5982,99619.8654,99436.3546,99009.2993,99187.5529,100000
1,7,0.901387819,36.0488892,99882.2212,99626.1597,99453.8784,99244.0701,99064.1117,99831.0089,99406.8146,99073.9346,98663.6877,98761.7254,99701.643,99328.9232,98987.1502,98826.3369,98577.1894,99809.1698,99268.9133,99317.05,99316.5612,98799.5982,99619.8654,99436.3546,99009.2993,99187.5529,100000
