Success,Hop-number,Starting distance,Travel sum,Min used energy,Max used energy,Sum used energy,Optimal sum energy,Node energy 1,Node energy 2,Node energy 3,Node energy 4,Node energy 5,Node energy 6,Node energy 7,Node energy 8,Node energy 9,Node energy 10
1,2,1.191961616,1.205224298,60.58960751,193.9762981,254.5659056,292.96875,198370.4186,198649.2323,198661.3576,198370.4186,198649.1664,198479.4363,198479.4363,198649.1641,198430.9823,200000
1,2,0.4202910085,0.4232085871,24.24916554,24.31731538,48.56648092,48.828125,198370.4186,198624.915,198661.3576,198370.4186,198649.1664,198479.4363,198479.4363,198624.915,198430.9823,200000
1,2,0.8379049459,0.8978430746,72.68603272,84.87728902,157.5633217,122.0703125,198370.4186,198624.915,198576.4803,198370.4186,198576.4803,198479.4363,198479.4363,198624.915,198430.9823,200000
1,2,0.3686789599,0.563944452,12.1201465,60.55479315,72.67493965,48.828125,198370.4186,198624.915,198576.4803,198370.4186,198564.3602,198479.4363,198479.4363,198564.3602,198430.9823,200000
1,2,0.8719440632,0.8868434135,60.57111703,145.4950322,206.0661492,146.484375,198370.4186,198624.915,198576.4803,198370.4186,198418.8652,198479.4363,198418.8652,198564.3602,198430.9823,200000
1,2,0.815818586,0.8191942223,60.53784748,60.53784748,121.075695,122.0703125,198309.8808,198624.915,198576.4803,198309.8808,198418.8652,198479.4363,198418.8652,198564.3602,198430.9823,200000
1,2,0.815818586,0.8191942223,60.51937279,60.51937279,121.0387456,122.0703125,198249.3614,198624.915,198576.4803,198249.3614,198418.8652,198479.4363,198418.8652,198564.3602,198430.9823,200000
1,2,0.4202910085,0.4232085871,24.2388135,84.79360664,109.0324201,48.828125,198249.3614,198540.1214,198576.4803,198249.3614,198418.8652,198479.4363,198418.8652,198540.1214,198430.9823,200000
1,1,0.060130074,0.060130074,12.11792733,12.11792733,12.11792733,12.20703125,198249.3614,198528.0034,198576.4803,198249.3614,198418.8652,198479.4363,198418.8652,198540.1214,198430.9823,200000
1,2,0.3686789599,0.563944452,12.11052644,133.3667451,145.4772715,48.828125,198249.3614,198528.0034,198576.4803,198249.3614,198406.7546,198479.4363,198418.8652,198406.7546,198430.9823,200000
1,2,0.4202910085,0.4232085871,24.21957454,145.4683923,169.6879668,48.828125,198249.3614,198382.535,198576.4803,198249.3614,198406.7546,198479.4363,198418.8652,198382.535,198430.9823,200000
